 (Half Day),（半天）
Do you really want to UNSTOP ,你确定要取消停止操作吗?
Do you really want to UNSTOP this Material Request?,你确定要取消停止物料请求?
Do you really want to stop production order: ,你确定要停止生产订单吗?
Doc Name,档案名称
Doc Type,档案类型
Document Description,档案说明
Document Type,档案类型
Documents,档案
Domain,域
Don't send Employee Birthday Reminders,不要发送员工生日提醒
Download Materials Required,下载物料需求
Download Reconcilation Data,下载汇总数据
Download Template,下载模板
Download a report containing all raw materials with their latest inventory status,下载一个包含所有原料信息以及他们最新的库存状态的报表
"Download the Template, fill appropriate data and attach the modified file.",下载模板，填写相应的数据，并上传修改后的档案
"Download the Template, fill appropriate data and attach the modified file.
All dates and employee combination in the selected period will come in the template, with existing attendance records","下载模板，
填写员工及相应日期的出勤记录并附上修改后的文件"
Draft,草稿
Dropbox,Dropbox的
Dropbox Access Allowed,Dropbox允许访问
Dropbox Access Key,Dropbox访问Key
Dropbox Access Secret,Dropbox访问的密钥
Due Date,到期日
Due Date cannot be after {0},截止日期不能{0}之后
Due Date cannot be before Posting Date,到期日在发布日期之前
Duplicate Entry. Please check Authorization Rule {0},重复的条目;请检查授权规则{0}
Duplicate Serial No entered for Item {0},商品{0}使用了重复的序列号
Duplicate entry,重复的条目
Duplicate row {0} with same {1},第{0}行与第{1}行重复
Duties and Taxes,关税和税款
ERPNext Setup,ERPBoost设置
Earliest,最早
Earnest Money,保证金
Earning,盈利
Earning & Deduction,收入 & 扣除
Earning Type,收入类型
Earning1,Earning1
Edit,编辑
Edu. Cess on Excise,Edu. Cess on Excise
Edu. Cess on Service Tax,Edu. Cess on Service Tax
Edu. Cess on TDS,Edu. Cess on TDS
Education,教育
Educational Qualification,学历
Educational Qualification Details,学历详情
Eg. smsgateway.com/api/send_sms.cgi,例如 smsgateway.com的短信发送网关
Either debit or credit amount is required for {0},对{0}而言无论是借方或贷方金额是必需的
Either target qty or target amount is mandatory,目标的数量或金额是必须的
Either target qty or target amount is mandatory.,目标的数量或金额是必须的
Electrical,电力
Electricity Cost,电力成本
Electricity cost per hour,每小时电费
Electronics,电子产品
Email,电子邮件
Email Digest,电子邮件摘要
Email Digest Settings,电子邮件摘要设置
Email Digest: ,电子邮件摘要:
Email Id,电子邮件
"Email Id where a job applicant will email e.g. ""jobs@example.com""",应聘者将要发邮件进行应聘的邮箱例如jobs@example.com
Email Notifications,电子邮件通知
Email Sent?,邮件已发送?
"Email id must be unique, already exists for {0}",已经存在{0};电子邮件必须是唯一的
Email ids separated by commas.,电子邮件用逗号分隔
"Email settings to extract Leads from sales email id e.g. ""sales@example.com""",从销售邮箱提取潜在客户邮件的设置;例如sales@example.com
Emergency Contact,紧急联系人
Emergency Contact Details,紧急联系人资料
Emergency Phone,紧急电话
Employee,员工
Employee Birthday,员工生日
Employee Details,员工详细信息
Employee Education,员工教育情况
Employee External Work History,员工工作历史
Employee Information,员工资料
Employee Internal Work History,员工内部工作经历
Employee Internal Work Historys,员工内部工作经历
Employee Leave Approver,员工请假审批
Employee Leave Balance,员工休假结余
Employee Name,员工姓名
Employee Number,员工人数
Employee Records to be created by,员工纪录创建者
Employee Settings,员工设置
Employee Type,员工类型
"Employee designation (e.g. CEO, Director etc.).",员工职位(例如总裁，总监等)
Employee master.,员工基础数据
Employee record is created using selected field. ,使用所选字段创建员工记录
Employee records.,员工记录
Employee relieved on {0} must be set as 'Left',Employee relieved on {0} must be set as 'Left'
Employee {0} has already applied for {1} between {2} and {3},员工{0}已经申请了{1}的{2}和{3}之间
Employee {0} is not active or does not exist,员工{0}未激活或不存在
Employee {0} was on leave on {1}. Cannot mark attendance.,员工{0}在{1}期间休假;不能标记考勤
Employees Email Id,员工的电子邮件
Employment Details,雇佣详情
Employment Type,雇佣类型
Enable / disable currencies.,启用/禁用的货币
Enabled,已启用
Encashment Date,兑现日期
End Date,结束日期
End Date can not be less than Start Date,结束日期不能小于开始日期
End date of current invoice's period,当前发票的结束日期
End of Life,销售有效期
Energy,能源
Engineer,工程师
Enter Verification Code,输入验证码
Enter campaign name if the source of lead is campaign.,如果销售机会的来源于活动请输入活动名称
Enter department to which this Contact belongs,输入联系人所属的部门
Enter designation of this Contact,输入此联系人的职位信息(e.g. CEO)
"Enter email id separated by commas, invoice will be mailed automatically on particular date",电子邮件用逗号隔开并且发票会自动在特定的日期邮寄
Enter items and planned qty for which you want to raise production orders or download raw materials for analysis.,输入你想进行生产订单的商品及计划的数量或下载原材料进行分析
Enter name of campaign if source of enquiry is campaign,如果咨询来源于活动则请输入活动名称
"Enter static url parameters here (Eg. sender=ERPBoost, username=ERPNext, password=1234 etc.)",在这里输入静态URL参数(sender=ERPBoost;username=ERPBoost;password= 1234 等)
Enter the company name under which Account Head will be created for this Supplier,请输入公司名称;供应商将在此公司的账户户头下被创建
Enter url parameter for message,输入消息的url参数
Enter url parameter for receiver nos,输入接收方URL参数
Entertainment & Leisure,娱乐休闲
Entertainment Expenses,娱乐费用
Entries,条目
Entries against ,为以下录入:
Entries are not allowed against this Fiscal Year if the year is closed.,如果关闭则不允许进行会计录入
Equity,公平
Error: {0} > {1},错误:{0} > {1}
Estimated Material Cost,估算物料成本
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",即使有更高优先级的多个价格规则，其为按照内部优先级应用：
Everyone can read,每个人都可以查看
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","如果序列号已设置并且交易编号没有指定;
则基于序列号的编号会自动创建出来(主动留空)"
Exchange Rate,汇率
Excise Duty 10,消费税10
Excise Duty 14,消费税14
Excise Duty 4,消费税4
Excise Duty 8,消费税8
Excise Duty @ 10,消费税@ 10
Excise Duty @ 14,消费税@ 14
Excise Duty @ 4,消费税@ 4
Excise Duty @ 8,消费税@ 8
Excise Duty Edu Cess 2,Excise Duty Edu Cess 2
Excise Duty SHE Cess 1,Excise Duty SHE Cess 1
Excise Page Number,消费页码
Excise Voucher,消费凭证
Execution,执行
Executive Search,猎头
Exemption Limit,免税限额
Exhibition,会展
Existing Customer,现有客户
Exit,离职
Exit Interview Details,退出面试详情
Expected,预期
Expected Completion Date can not be less than Project Start Date,预计完成日期不能少于项目开始日期
Expected Date cannot be before Material Request Date,预计时间不能在物料申请之前
Expected Delivery Date,预计交货日期
Expected Delivery Date cannot be before Purchase Order Date,预计交货日期不能在采购订单日期之前
Expected Delivery Date cannot be before Sales Order Date,预计交货日期不能在销售订单日期之前
Expected End Date,预计结束日期
Expected Start Date,预计开始日期
Expense,费用
Expense / Difference account ({0}) must be a 'Profit or Loss' account,费用/差异帐户({0})必须是一个'利润或亏损'的账户
Expense Account,支出帐户
Expense Account is mandatory,支出帐户是必需的
Expense Claim,费用报销
Expense Claim Approved,报销已批准
Expense Claim Approved Message,报销已批准消息
Expense Claim Detail,报销明细
Expense Claim Details,报销明细
Expense Claim Rejected,报销被拒绝
Expense Claim Rejected Message,报销拒绝的消息
Expense Claim Type,费用报销类型
Expense Claim has been approved.,报销已被审批
Expense Claim has been rejected.,报销被拒绝
Expense Claim is pending approval. Only the Expense Approver can update status.,费用报销正在等待批准， 只有费用审批人才能更新状态
Expense Date,支出日期
Expense Details,支出详情
Expense Head,总支出
Expense account is mandatory for item {0},商品{0}的支出账户是必须的
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,商品的{0}的支出或盈亏帐户是必须的因为它影响整个库存价值
Expenses,支出
Expenses Booked,支出预订
Expenses Included In Valuation,支出计入估值
Expenses booked for the digest period,消化期的费用预订
Expiry Date,到期时间
Exports,出口
External,外部
Extract Emails,提取电子邮件
FCFS Rate,FCFS比率
Failed: ,失败:
Family Background,家庭背景
Fax,传真
Features Setup,功能设置
Feed,Feed
Feed Type,Feed类型
Feedback,反馈
Female,女
Fetch exploded BOM (including sub-assemblies),提取已使用的物料(BOM)以及其子组件
"Field available in Delivery Note, Quotation, Sales Invoice, Sales Order",字段在发货单，报价单，销售发票，销售订单可用
Files Folder ID,文件夹的ID
Fill the form and save it,填写表格并保存
Filter based on customer,基于客户过滤
Filter based on item,基于产品过滤
Financial / accounting year.,财务/会计年度
Financial Analytics,财务分析
Financial Services,金融服务
Financial Year End Date,财政年度年结束日期
Financial Year Start Date,财政年度开始日期
Finished Goods,成品
First Name,姓
First Responded On,首先回应于
Fiscal Year,财年
Fiscal Year Start Date and Fiscal Year End Date are already set in Fiscal Year {0},会计年度开始日期和会计年度结束日期已经在财年中进行设置{0}
Fiscal Year Start Date and Fiscal Year End Date cannot be more than a year apart.,会计年度开始日期和会计年度结束日期不能超过相隔一年
Fiscal Year Start Date should not be greater than Fiscal Year End Date,会计年度开始日期应不大于会计年度结束日期
Fixed Asset,固定资产
Fixed Assets,固定资产
Follow via Email,通过电子邮件跟进
"Following table will show values if items are sub - contracted. These values will be fetched from the master of ""Bill of Materials"" of sub - contracted items.",下表将显示总值;如果一些商品在子合同中;那么这些值也将会从这些自合同的物料请求的基础数据中提取出来
Food,食物
"Food, Beverage & Tobacco",食品，饮料与烟草
"For 'Sales BOM' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Sales BOM' item, those values can be entered in the main Item table, values will be copied to 'Packing List' table.",对于销售物料清单而言: 仓库，序列号和批次号被认为从“装箱单”表中而来。如果任何销售物料清单的仓库和批号都是相同的，那么这些值可以在商品主表中进行输入，然后值将被复制到”装箱单“的表。
For Company,公司
For Employee,对于员工
For Employee Name,对于员工姓名
For Price List,适用于价目表
For Production,对于生产
For Reference Only.,仅供参考
For Sales Invoice,销售发票
For Server Side Print Formats,对于服务器端打印的格式
For Supplier,从供应商获取
For Warehouse,仓库
For Warehouse is required before Submit,提交需要选择仓库
"For e.g. 2012, 2012-13",例如2012以及2012-13
For reference,供参考
For reference only.,仅供参考
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",为方便客户，这些代码可用于打印格式，例如发票、发货单。
Fraction,分数
Fraction Units,分数单位
Freeze Stock Entries,冻结库存条目
Freeze Stocks Older Than [Days],冻结库存条目[创建多少天以后]
Freight and Forwarding Charges,货运费
Friday,星期五
From,来源/起始
From Bill of Materials,材料清单
From Company,从公司
From Currency,从货币
From Currency and To Currency cannot be same,货币不能相同
From Customer,从客户
From Customer Issue,从工单获取
From Date,开始日期
From Date cannot be greater than To Date,开始日期不能大于结束日期
From Date must be before To Date,开始日期必须早于结束日期
From Date should be within the Fiscal Year. Assuming From Date = {0},开始日期应该是在会计年度内。假设开始日期  ={0}
From Delivery Note,从发货单获取
From Employee,员工
From Lead,从潜在客户获取
From Maintenance Schedule,从维保计划获取
From Material Request,从物料需求获取
From Opportunity,从机会获取产品
From Package No.,起始包装号
From Purchase Order,从采购单获取
From Purchase Receipt,从收货单获取
From Quotation,从报价单
From Sales Order,从销售订单获取
From Supplier Quotation,从供应商报价单获取
From Time,开始时间
From Value,开始值
From and To dates required,起始和结束时间都是必须的
From value must be less than to value in row {0},第{0}行的开始值要小于结束值
Frozen,冻结的
Frozen Accounts Modifier,冻结帐户修改
Fulfilled,适合
Full Name,全名
Full-time,全日制
Fully Billed,全额支付
Fully Completed,完成
Fully Delivered,完全交付
Furniture and Fixture,家具及固定装置
Further accounts can be made under Groups but entries can be made against Ledger,可以在组下继续创建账号但录入必须在分类账上
"Further accounts can be made under Groups, but entries can be made against Ledger",可以在组下继续创建账号但录入必须在分类账上
Further nodes can be only created under 'Group' type nodes,只能在组类型的节点下创建节点
GL Entry,GL Entry
Gantt Chart,甘特图
Gantt chart of all tasks.,所有任务的甘特图
Gender,性别
General,一般性
General Ledger,总帐
Generate Description HTML,生成HTML描述
Generate Material Requests (MRP) and Production Orders.,生成物料请求(MRP)和生产订单
Generate Salary Slips,生成工资条
Generate Schedule,生成时间表
Generates HTML to include selected image in the description,生成HTML包括所选图像的描述
Get Advances Paid,获取已付预付款
Get Advances Received,获取已收预付款
Get Current Stock,获取当前库存
Get Items,获取材料
Get Items From Sales Orders,从销售订单获取
Get Items from BOM,从物料清单（BOM）获取
Get Last Purchase Rate,获取上次采购价格
Get Outstanding Invoices,查看未付发票
Get Relevant Entries,获取相关条目
Get Sales Orders,获取销售订单
Get Specification Details,获取质量标准详情
Get Stock and Rate,获取库存及价格
Get Template,获取模板
Get Terms and Conditions,获取条款和条件
Get Unreconciled Entries,获取不一致条目
Get Weekly Off Dates,查看每周休息日期
"Get valuation rate and available stock at source/target warehouse on mentioned posting date-time. If serialized item, please press this button after entering serial nos.",基于商品的创建日期获取当前源/目标仓库的可用库存数量以及估值。如果商品有序列号则请输入序列号然后点击此按钮。
Global Defaults,全局默认值
Global POS Setting {0} already created for company {1},公司{1}的全局POS设置{0}已设置
Global Settings,全局设置
"Go to the appropriate group (usually Application of Funds > Current Assets > Bank Accounts and create a new Account Ledger (by clicking on Add Child) of type ""Bank""",转至相应的组（通常是资金应用>流动资产>银行帐户，并创建类型的新帐户分类帐（点击添加子项）:'银行'
"Go to the appropriate group (usually Source of Funds > Current Liabilities > Taxes and Duties and create a new Account Ledger (by clicking on Add Child) of type ""Tax"" and do mention the Tax rate.",转至相应的组（通常是资金来源>流动负债>税和关税，并创建一个新的帐户分类帐类型'税' （点击添加子项）; 请务必声明税率
Goal,目标
Goals,目标
Goods received from Suppliers.,从供应商收到的货
Google Drive,Google Drive
Google Drive Access Allowed,谷歌驱动器允许访问
Government,政府
Graduate,大学毕业
Grand Total,总计
Grand Total (Company Currency),总计（公司货币）
"Grid """,Grid
Grocery,杂货
Gross Margin %,毛利率%
Gross Margin Value,毛利率价值
Gross Pay,工资总额
Gross Pay + Arrear Amount +Encashment Amount - Total Deduction,工资总额+拖欠金额+假期金额 - 总扣除金额
Gross Profit,毛利润
Gross Profit (%),毛利%
Gross Weight,毛重
Gross Weight UOM,毛重计量单位
Group,组
Group by Account,通过账号分组
Group by Voucher,通过凭证分组
Group or Ledger,组或分类账
Groups,组
HR Manager,人力资源经理
HR Settings,人力资源设置
HTML / Banner that will show on the top of product list.,HTML /横幅，将显示在产品列表的顶部。
Half Day,半天
Half Yearly,半年度
Half-yearly,半年
Happy Birthday!,祝你生日快乐！
Hardware,硬件
Has Batch No,有批号
Has Child Node,有子节点
Has Serial No,有序列号
Head of Marketing and Sales,营销和销售主管
Header,头部
Health Care,保健
Health Concerns,健康问题
Health Details,健康细节
Held On,公司处理日期
Help HTML,HTML帮助
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")",帮助：要链接到系统中另一条记录， 可使用“#Form/Note/[Note Name]”链接网址。（不要使用“http://”）
"Here you can maintain family details like name and occupation of parent, spouse and children",在这里你可以维系家庭的详细信息，如姓名;父母配偶子女及其职业
"Here you can maintain height, weight, allergies, medical concerns etc",在这里你可以保持身高，体重，过敏，医疗问题等
Hide Currency Symbol,隐藏货币符号
High,高
History In Company,公司历史
Hold,暂停
Holiday,节日
Holiday List,假日列表
Holiday List Name,假日列表名称
Holiday master.,假日基础数据
Holidays,假期
Home,主页
Host,主机
"Host, Email and Password required if emails are to be pulled",主机，电子邮件和密码必需的
Hour,小时
Hour Rate, 总费用（小时）
Hour Rate Labour,人工费用（小时）
Hours,小时
How Pricing Rule is applied?,价格规则如何被应用？
How frequently?,多久？
"How should this currency be formatted? If not set, will use system defaults",货币进行格式化？如果没有设置，将使用系统默认
Human Resources,人力资源
Identification of the package for the delivery (for print),交付包的识别编号(用于打印)
If Income or Expense,收入或支出
If Monthly Budget Exceeded,如果每月超出预算
"If Sale BOM is defined, the actual BOM of the Pack is displayed as table. Available in Delivery Note and Sales Order",如果定义了销售物料清单(BOM)，那么该包的实际物料清单(BOM)显示为表格并且发货单和销售订单上可见
"If Supplier Part Number exists for given Item, it gets stored here",如果供应商料号存在则它被保存在这里
If Yearly Budget Exceeded,如果年度预算超出
"If checked, BOM for sub-assembly items will be considered for getting raw materials. Otherwise, all sub-assembly items will be treated as a raw material.",如果选中，则物料清单(BOM)的子装配项将被视为需要获取原材料。否则，所有的子装配项，将被视为一个原材料。
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day",如果选中，则总工作日将包括节假日;那么这将缩短每天的工资的价值
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",如果选中，纳税额将被视为已包括在打印的比例/金额中
If different than customer address,如果和客户的地址不同
"If disable, 'Rounded Total' field will not be visible in any transaction",如果禁用，'四舍五入总值'字段将在任何交易中不可见
"If enabled, the system will post accounting entries for inventory automatically.",如果启用，系统将自动为库存创建会计分录
If more than one package of the same type (for print),如果有多个包的类型相同(用于打印）
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.",如果有多个价格规则冲突，用户则会被要求手动设置优先级来解决冲突。
"If no change in either Quantity or Valuation Rate, leave the cell blank.",如果数量或估价率没有变化，则这一列留空
If not applicable please enter: NA,如果不适用，请输入: NA
"If not checked, the list will have to be added to each Department where it has to be applied.",如果未勾选则应用到所有的部门
"If selected Pricing Rule is made for 'Price', it will overwrite Price List. Pricing Rule price is the final price, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",如果是'价格'的价格规则，它会将规则应用到价目表并且价格规则价格是最终价格，所以没有进一步的折扣会被适用。因此，在像销售订单，采购订单等交易中，将使用“比率”字段，而不是使用'价目表比率'字段。
"If specified, send the newsletter using this email address",如果指定了，使用此邮件地址来发送简讯
"If the account is frozen, entries are allowed to restricted users.",如果帐户被冻结，那么只有少数被授权的用户能够操作
"If this Account represents a Customer, Supplier or Employee, set it here.",如果该帐户代表一个客户，供应商或员工，请在这里设置
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",如果根据上述条件发现两个或更多个价格规则，则根据优先级进行应用。优先级是一个介于0到20的数值，而默认值为零（留空）。数字越大，意味着它优先级别越高。
If you follow Quality Inspection. Enables Item QA Required and QA No in Purchase Receipt,如果你遵循质量检验。采购入库单中启用要求质量保证以及质量保证编号
If you have Sales Team and Sale Partners (Channel Partners)  they can be tagged and maintain their contribution in the sales activity,如果你有销售团队和销售合作伙伴（渠道合作伙伴），他们可以被标记并维持其在销售的贡献
"If you have created a standard template in Purchase Taxes and Charges Master, select one and click on the button below.",如果你已经在“采购税和费用基础数据“中创建了标准模板，选择一个并点击下面的按钮。
"If you have created a standard template in Sales Taxes and Charges Master, select one and click on the button below.",如果您为购置税和费用基础数据创建一个标准的模板，请选择一个然后点击下面的按钮
"If you have long print formats, this feature can be used to split the page to be printed on multiple pages with all headers and footers on each page",如果你有很长的需要打印，这个功能可以被用来分割要打印多个页面，每个页面上的都有页眉和页脚
If you involve in manufacturing activity. Enables Item 'Is Manufactured',如果涉及到生产生产请启用'是被生产的'选型
Ignore,忽略
Ignore Pricing Rule,忽略价格规则
Ignored: ,已忽略:
Image,图像
Image View,查看图像
Implementation Partner,实施合作伙伴
Import Attendance,导入考勤
Import Failed!,导入失败！
Import Log,导入日志
Import Successful!,导入成功！
Imports,进口
In Hours,以小时为单位
In Process,过程
In Qty,接收数量
In Value,价值
In Words,大写金额
In Words (Company Currency),总额文字描述(公司货币)
In Words (Export) will be visible once you save the Delivery Note.,保存发货单后如果在的话将可见
In Words will be visible once you save the Delivery Note.,保存发货单后如果在的话将可见
In Words will be visible once you save the Purchase Invoice.,保存购买发票后如果在的话将可见
In Words will be visible once you save the Purchase Order.,保存采购订单后如果在的话将可见
In Words will be visible once you save the Purchase Receipt.,保存购买收据后如果在的话将可见
In Words will be visible once you save the Quotation.,保存报价单后如果在的话将可见
In Words will be visible once you save the Sales Invoice.,你保存销售发票后如果在的话将可见
In Words will be visible once you save the Sales Order.,保存销售订单后如果在的话将可见
Incentives,奖励
Include Reconciled Entries,包括已对账条目
Include holidays in Total no. of Working Days,工作日包括节假日的总数
Income,收入
Income / Expense,收入/支出
Income Account,收入账户
Income Booked,收入入账
Income Tax,所得税
Income Year to Date,年初至今的收入
Income booked for the digest period,消化期的收入入账
Incoming,进料
Incoming Rate,买入估值(只读)
Incoming quality inspection.,进料质量检验
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,总帐条目中找到不正确的数目。你可能在交易中选择了错误的帐户。
Incorrect or Inactive BOM {0} for Item {1} at row {2},第{2}行产品{1}的物料清单(BOM){0}不正确或未激活
Indicates that the package is a part of this delivery (Only Draft),指明该包是发货单的一部分(仅是草稿状态)
Indirect Expenses,间接费用
Indirect Income,间接收入
Individual,个人
Industry,行业
Industry Type,行业类型
Inspected By,检验人
Inspection Criteria,检验标准
Inspection Required,需要检验
Inspection Type,检验类型
Installation Date,安装日期
Installation Note,安装记录
Installation Note Item,安装记录项
Installation Note {0} has already been submitted,安装记录{0}已提交
Installation Status,安装状态
Installation Time,安装时间
Installation date cannot be before delivery date for Item {0},{0}的安装日期不能在交付日期前
Installation record for a Serial No.,序列号安装记录
Installed Qty,已安装数量
Instructions,说明
Integrate incoming support emails to Support Ticket,将客户支持部分的邮件整合进来
Interested,有兴趣
Intern,实习生
Internal,内部
Internet Publishing,互联网出版
Introduction,介绍
Invalid Barcode,无效的条码
Invalid Barcode or Serial No,无效的条码或序列号
Invalid Mail Server. Please rectify and try again.,无效的邮件服务器。请纠正然后再试一次。
Invalid Master Name,无效的数据名称
Invalid User Name or Support Password. Please rectify and try again.,无效的用户名持密码。请纠正然后再试一次
Invalid quantity specified for item {0}. Quantity should be greater than 0.,产品{0}数量不正确;数量应大于0
Inventory,库存
Inventory & Support,库存与支持
Investment Banking,投资银行业务
Investments,投资
Invoice Date,发票日期
Invoice Details,发票明细
Invoice No,发票号码
Invoice Number,发票号码
Invoice Period From,发票开始日期
Invoice Period From and Invoice Period To dates mandatory for recurring invoice,经常性发票的开始日期和结束日期都是必须的
Invoice Period To,发票结束日期
Invoice Type,发票类型
Invoice/Journal Voucher Details,发票/记帐凭证详细信息
Invoiced Amount (Exculsive Tax),发票金额(不包括税金)
Is Active,是否激活
Is Advance,是预付款
Is Cancelled,是取消了
Is Carry Forward,是可累计假期
Is Default,是默认的
Is Encash,是兑现了的
Is Fixed Asset Item,是固定资产项
Is LWP,是无薪假期
Is Opening,是期初分录吗?
Is Opening Entry,是开始分录
Is POS,是POS机
Is Primary Contact,是主要联络人
Is Purchase Item,是采购产品
Is Sales Item,是销售产品
Is Service Item,是服务产品
Is Stock Item,是库存项
Is Sub Contracted Item,是分包商品
Is Subcontracted,是分包的
Is this Tax included in Basic Rate?,此项税费已包含在产品价格中吗？
Issue,问题
Issue Date,报修日期
Issue Details,问题详情
Issued Items Against Production Order,未完成的生产订单
It can also be used to create opening stock entries and to fix stock value.,它也可以用来创建期初存货和库存值
Item,商品
Item Advanced,商品高级选项
Item Barcode,商品条码
Item Batch Nos,商品批号
Item Code,产品代码
Item Code > Item Group > Brand,商品编号>商品组>品牌
Item Code and Warehouse should already exist.,商品编码和仓库应该已经存在
Item Code cannot be changed for Serial No.,商品编码不能改变为序列号
Item Code is mandatory because Item is not automatically numbered,商品编号是强制性的，因为商品没有自动编号
Item Code required at Row No {0},第{0}行的商品编码需要填写
Item Customer Detail,商品客户详情
Item Description,商品说明
Item Desription,商品描述
Item Details,商品详细信息
Item Group,产品组
Item Group Name,商品组名称
Item Group Tree,商品组树形结构
Item Group not mentioned in item master for item {0},商品{0}在商品的基础数据中的商品组没有配置
Item Groups in Details,商品组详情
Item Image (if not slideshow),商品图片(如果不是幻灯片)
Item Name,产品名
Item Naming By,商品命名规则
Item Price,商品价格
Item Prices,商品价格
Item Quality Inspection Parameter,商品质量检验参数
Item Reorder,商品重新排序
Item Serial No,商品序列号
Item Serial Nos,商品序列号
Item Shortage Report,商品短缺报表
Item Supplier,商品供应商
Item Supplier Details,产品供应商详情
Item Tax,产品税
Item Tax Amount,产品税额
Item Tax Rate,产品税率
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,商品税的第{0}行的账户类型必须是税;收入;支出或是可记账的
Item Tax1,商品税
Item To Manufacture,生产产品
Item UOM,商品计量单位
Item Website Specification,商品网站规格描述
Item Website Specifications,商品网站规格描述
Item Wise Tax Detail,商品税明细
Item Wise Tax Detail ,商品税明细
Item is required,商品是必须的
Item is updated,商品信息已更新
Item master.,商品基础数据
"Item must be a purchase item, as it is present in one or many Active BOMs",商品必须是需要购买的商品，因为它在一个或多个物料清单中都有体现
Item or Warehouse for row {0} does not match Material Request,第{0}行的商品或者仓库都不匹配物料需求
Item table can not be blank,商品表不能为空
Item to be manufactured or repacked,产品将被生产或重新包装
Item valuation updated,商品估价已更新
Item will be saved by this name in the data base.,商品将以此名称存入数据库
Item {0} appears multiple times in Price List {1},商品{0}在价目表{1}中出现了多次
Item {0} does not exist,商品{0}不存在
Item {0} does not exist in the system or has expired,商品{0}不存在或已过期
Item {0} does not exist in {1} {2},商品{0}不存在于{1} {2}
Item {0} has already been returned,商品{0}已被退回
Item {0} has been entered multiple times against same operation,商品{0}已多次输入相同的操作
Item {0} has been entered multiple times with same description or date,商品{0}已多次输入有相同的描述或日期
Item {0} has been entered multiple times with same description or date or warehouse,商品{0}已多次输入有相同的描述或日期或仓库
Item {0} has been entered twice,商品{0}已被输入两次
Item {0} has reached its end of life on {1},商品{0}已达到其生命周期的末尾{1}
Item {0} ignored since it is not a stock item,商品{0}被忽略，因为它不是一个库存商品
Item {0} is cancelled,商品{0}将被取消
Item {0} is not Purchase Item,商品{0}不是可购买商品
Item {0} is not a serialized Item,商品{0}不是一个可序列化的商品
Item {0} is not a stock Item,商品{0}不是一个库存商品
Item {0} is not active or end of life has been reached,商品{0}非有效状态或生命周期已到尽头
Item {0} is not setup for Serial Nos. Check Item master,商品{0}没有设置序列号请检查基础数据
Item {0} is not setup for Serial Nos. Column must be blank,商品{0}没有设置序列号请将列留空
Item {0} must be Sales Item,商品{0}必须是可销售商品
Item {0} must be Sales or Service Item in {1},商品{0}必须是可销售商品或服务型商品{1}
Item {0} must be Service Item,商品{0}必须是服务型商品
Item {0} must be a Purchase Item,服务型商品{0}必须是一个可采购商品
Item {0} must be a Sales Item,商品{0}必须是可销售商品
Item {0} must be a Service Item.,商品{0}必须是服务型商品
Item {0} must be a Sub-contracted Item,商品{0}必须是一个分包商品
Item {0} must be a stock Item,商品{0}必须是一个库存商品
Item {0} must be manufactured or sub-contracted,商品{0}必须是生产或分包商品
Item {0} not found,商品{0}未找到
Item {0} with Serial No {1} is already installed,序列号{1}的商品{0}已经安装
Item {0} with same description entered twice,商品{0}相同的描述已输入两次
"Item, Warranty, AMC (Annual Maintenance Contract) details will be automatically fetched when Serial Number is selected.",当选择序号后商品、保修期、年度维护合同等信息都将被自动的提取出来
Item-wise Price List Rate,商品价格单率
Item-wise Purchase History,商品采购历史
Item-wise Purchase Register,商品采购登记
Item-wise Sales History,商品销售历史
Item-wise Sales Register,商品销售登记
"Item: {0} managed batch-wise, can not be reconciled using \
					Stock Reconciliation, instead use Stock Entry","商品: {0}是基于批次的
因此不能使用盘库工具而应该用库存录入功能"
Item: {0} not found in the system,商品:{0}没有在系统中找到
Items,商品
Items To Be Requested,所需商品
Items required,所需商品
"Items to be requested which are ""Out of Stock"" considering all warehouses based on projected qty and minimum order qty",所有仓库的“缺货”商品的补货将基于预订数量以及最小订货量进行计算
Items which do not exist in Item master can also be entered on customer's request,商品基础数据中不存在的商品可以基于用户的需求进行输入
Itemwise Discount,商品折扣
Itemwise Recommended Reorder Level,商品建议再订购级别
Job Applicant,职位申请
Job Opening,招聘职位
Job Profile,工作简介
Job Title,职位
"Job profile, qualifications required etc.",工作概要、资格要求等
Jobs Email Settings,工作申请Email设置
